Date,VIX,M1,M2,VIX3M,VXX,SPX,VVIX,M1 Weight,M2 Weight,Weighted M1 M2,HV5,HV10,HV20,HV30,HV60,VXX Bias,VRP,VIX GEX
2022-04-08 16:31:01,21.16,22.6,24.6,25.17,24.67,4488.2798,112.14,0.24,0.76,24.12,14.03,15.24,17.97,21.02,21.67,-1.0,-2.0,-0.5
2022-04-07 16:31:01,21.55,22.72,24.62,25.23,24.05,4500.21,113.33,0.28,0.72,24.09,14.64,15.52,18.78,21.89,21.68,-1.0,-2.0,-0.5
2022-04-06 16:31:04,22.1,23.95,25.53,25.8,24.38,4481.1499,114.84,0.32,0.68,25.02,16.57,17.1,18.94,22.22,21.75,-2.0,-1.0,-0.5
2022-04-05 16:31:00,21.03,22.85,24.55,24.9,24.81,4525.1201,116.27,0.36,0.64,23.94,16.18,17.59,20.08,22.76,21.67,-2.0,-1.0,-0.5
2022-04-04 16:31:03,18.57,21.0,23.21,23.03,24.43,4582.6401,107.11,0.4,0.6,22.33,17.99,16.73,19.56,22.63,21.54,-2.0,-1.0,-0.5
2022-04-01 16:31:05,19.63,22.5,24.4,24.21,25.03,4545.8599,112.22,0.44,0.56,23.56,17.74,16.51,22.9,22.7,21.47,-2.0,-1.0,-0.5
2022-03-31 16:31:04,20.56,22.95,24.7,24.46,25.7,4530.4102,111.45,0.48,0.52,23.86,17.97,17.24,23.19,23.61,21.8,-2.0,-1.0,-0.5
2022-03-30 16:31:02,19.33,22.0,24.0,23.57,25.0,4602.4502,107.41,0.52,0.48,22.96,12.81,14.35,22.42,23.1,21.57,-2.0,-2.0,-0.5
2022-03-29 16:31:02,18.9,21.75,23.7,23.19,24.85,4631.6001,104.35,0.56,0.44,22.61,16.71,14.96,22.86,23.37,21.59,-2.0,-1.0,-1.0
2022-03-28 16:31:00,19.63,23.0,24.65,24.18,25.73,4575.52,108.29,0.6,0.4,23.66,16.46,16.27,23.6,23.21,21.43,-2.0,-2.0,-1.0
2022-03-25 16:31:03,20.81,23.6,24.95,24.72,25.2,4543.0601,109.21,0.64,0.36,24.09,16.74,18.31,23.59,23.87,21.37,-2.0,-2.0,-1.0
2022-03-24 16:31:03,21.67,24.28,25.45,25.3,25.2,4520.1602,106.05,0.68,0.32,24.65,17.74,21.11,24.67,24.41,21.34,-2.0,-2.0,-1.0
2022-03-23 16:31:02,23.57,25.2,26.0,26.41,25.49,4456.2402,108.77,0.72,0.28,25.42,17.12,21.14,24.72,24.42,21.11,-2.0,-3.0,-0.5
2022-03-22 16:31:02,22.94,27.15,27.45,25.85,25.445,4511.6099,108.22,0.76,0.24,27.22,12.83,21.45,25.3,24.28,21.2,-2.0,-3.0,-1.0
2022-03-21 16:31:03,23.55,27.15,27.45,26.38,26.01,4461.1802,108.96,0.8,0.2,27.21,14.62,22.62,25.45,24.08,21.1,-2.0,-2.0,-0.5
2022-03-18 16:31:00,23.87,27.15,27.45,26.55,25.0,4463.1201,106.74,0.84,0.16,27.2,19.0,28.84,25.63,24.13,21.22,-2.0,-1.0,-0.5
2022-03-17 16:31:06,25.67,27.15,27.45,28.22,26.15,4411.6699,109.25,0.88,0.12,27.19,26.08,28.9,26.46,24.86,21.4,-2.0,-1.0,-0.1
2022-03-16 16:31:00,26.67,27.65,27.95,28.96,25.95,4357.8599,115.1,0.92,0.08,27.67,26.67,28.36,26.03,24.74,21.35,-2.0,-1.0,0.5
2022-03-15 16:31:04,29.83,30.29,30.02,31.96,28.7,4262.4502,122.18,0.962,0.038,30.28,28.18,27.55,25.34,23.84,20.87,-2.0,-1.0,1.0
2022-03-14 16:31:04,31.77,31.6,31.6,33.32,28.81,4173.1099,126.26,0.0,1.0,31.6,24.42,25.33,23.86,23.64,20.37,-2.0,-1.0,2.0
2022-03-11 16:31:03,30.75,30.88,30.72,32.34,26.34,4204.3101,125.58,0.105,0.895,30.74,31.85,25.3,24.5,24.76,20.68,-2.0,-1.0,1.0
2022-03-10 16:31:02,30.23,30.3,29.93,31.52,25.83,4259.52,125.47,0.158,0.842,29.99,31.31,27.91,24.83,24.53,20.58,-2.0,-2.0,1.0
2022-03-09 16:31:04,32.45,32.0,31.38,33.06,27.03,4277.8799,130.86,0.211,0.789,31.51,31.31,28.85,25.64,24.51,20.63,-0.5,-3.0,2.0
2022-03-08 16:31:02,35.13,34.14,32.82,35.0,28.15,4170.7002,139.71,0.263,0.737,33.17,27.06,26.87,23.78,23.43,19.97,-0.5,-3.0,2.0
2022-03-07 16:31:03,36.45,34.55,32.69,35.74,28.49,4201.0898,133.66,0.316,0.684,33.28,27.87,27.04,23.74,23.4,19.97,-0.5,-3.0,2.0
2022-03-04 16:31:01,31.98,32.1,30.6,32.34,26.2,4328.8701,127.85,0.368,0.632,31.15,20.26,23.0,21.78,22.48,19.14,-1.0,-3.0,1.0
2022-03-03 16:31:02,30.48,29.84,29.4,30.8,25.11,4363.4902,122.36,0.421,0.579,29.59,25.82,24.99,23.15,22.58,19.61,-1.0,-2.0,1.0
